rozmiar;szukana;wynik;czas;ile operacji
5368709;1001;2094;740;21
10737418;1001;4170;3;23
16106127;1001;6203;3;18
21474836;1001;8394;4;19
26843545;1001;10506;3;21
32212254;1001;12524;4;22
37580963;1001;14513;4;20
42949672;1001;16760;5;22
48318381;1001;18763;4;22
53687090;1001;21117;4;21
59055799;1001;22694;10;20
64424508;1001;24849;5;21
69793217;1001;26622;5;16
75161926;1001;28956;4;18
80530635;1001;30755;6;21
85899344;1001;33093;4;18
91268053;1001;35205;4;21
96636762;1001;37413;5;19
102005471;1001;39493;5;19
107374180;1001;41367;5;18
112742889;1001;43113;4;20
118111598;1001;45279;7;19
123480307;1001;47131;5;22
128849016;1001;49119;5;22
134217725;1001;51902;5;21
139586434;1001;53911;5;20
144955143;1001;55915;4;21
150323852;1001;57843;5;21
155692561;1001;59983;4;18
161061270;1001;62513;5;20
166429979;1001;64279;5;20
171798688;1001;65984;6;22
177167397;1001;68003;6;21
182536106;1001;69978;9;19
187904815;1001;72259;5;22
193273524;1001;74278;5;20
198642233;1001;76483;6;22
204010942;1001;78113;6;21
209379651;1001;80468;7;20
214748360;1001;82940;10;20
220117069;1001;84018;6;22
