rozmiar;szukana;wynik;czas;ile operacji
5368709;1001;2070;564;2071
10737418;1001;4069;46;4070
16106127;1001;6224;118;6225
21474836;1001;8330;104;8331
26843545;1001;10407;130;10408
32212254;1001;12513;141;12514
37580963;1001;14459;164;14460
42949672;1001;16455;186;16456
48318381;1001;18695;213;18696
53687090;1001;20725;253;20726
59055799;1001;22653;281;22654
64424508;1001;24717;306;24718
69793217;1001;26887;303;26888
75161926;1001;29085;361;29086
80530635;1001;30824;383;30825
85899344;1001;33164;374;33165
91268053;1001;35159;420;35160
96636762;1001;37572;466;37573
102005471;1001;38944;440;38945
107374180;1001;41374;1138;41375
112742889;1001;43201;535;43202
118111598;1001;45693;566;45694
123480307;1001;47760;537;47761
128849016;1001;50164;1380;50165
134217725;1001;51538;582;51539
139586434;1001;53661;605;53662
144955143;1001;55503;687;55504
150323852;1001;57711;649;57712
155692561;1001;59998;676;59999
161061270;1001;62097;769;62098
166429979;1001;64297;797;64298
171798688;1001;66112;909;66113
177167397;1001;68229;769;68230
182536106;1001;70240;871;70241
187904815;1001;72263;814;72264
193273524;1001;74247;2046;74248
198642233;1001;76729;877;76730
204010942;1001;78778;888;78779
209379651;1001;80284;2210;80285
214748360;1001;82875;933;82876
220117069;1001;84735;1052;84736
