rozmiar;szukana;wynik;czas;ile operacji
5368709;1001;-1;64677;5368709
10737418;1001;-1;132649;10737418
16106127;1001;-1;244173;16106127
21474836;1001;-1;273022;21474836
26843545;1001;-1;334547;26843545
32212254;1001;-1;413747;32212254
37580963;1001;-1;469302;37580963
42949672;1001;-1;521114;42949672
48318381;1001;-1;590689;48318381
53687090;1001;-1;650892;53687090
59055799;1001;-1;719238;59055799
64424508;1001;-1;1079240;64424508
69793217;1001;-1;1140629;69793217
75161926;1001;-1;914037;75161926
80530635;1001;-1;987400;80530635
85899344;1001;-1;1046192;85899344
91268053;1001;-1;1120108;91268053
96636762;1001;-1;1185610;96636762
102005471;1001;-1;1238817;102005471
107374180;1001;-1;1317094;107374180
112742889;1001;-1;1377321;112742889
118111598;1001;-1;1460945;118111598
123480307;1001;-1;1506589;123480307
128849016;1001;-1;2576278;128849016
134217725;1001;-1;2740311;134217725
139586434;1001;-1;1724242;139586434
144955143;1001;-1;1759132;144955143
150323852;1001;-1;1842792;150323852
155692561;1001;-1;1940851;155692561
161061270;1001;-1;1961720;161061270
166429979;1001;-1;2088897;166429979
171798688;1001;-1;4781767;171798688
177167397;1001;-1;2165058;177167397
182536106;1001;-1;2203772;182536106
187904815;1001;-1;2395150;187904815
193273524;1001;-1;2391621;193273524
198642233;1001;-1;4162543;198642233
204010942;1001;-1;2574802;204010942
209379651;1001;-1;2847287;209379651
214748360;1001;-1;3943160;214748360
220117069;1001;-1;5961103;220117069
